Ref,Val,Package,PosX,PosY,Rot,Side
"R1","100 Ω","R_0603_1608Metric",128.000000,-124.500000,180.000000,top
"R2","47 kΩ","R_0603_1608Metric",129.500000,-115.000000,0.000000,top
"R3","47 kΩ","R_0603_1608Metric",126.500000,-115.000000,0.000000,top
"U1","SN65HVD75","SOIC-8_3.9x4.9mm_P1.27mm",128.000000,-119.500000,270.000000,top
